beta,gamma,reproduction_number,s0,i0,r0,max_infected,time_to_peak,final_removed,max_population_deviation
0.15,0.05,2.9999999999999996,0.99,0.01,0.0,0.3038128585095146,53.2,0.7005096623397918,1.1102230246251565e-15
0.15,0.05,2.9999999999999996,0.972,0.028000000000000004,0.0,0.3099277615730036,42.400000000000006,0.7830982797251497,4.440892098500626e-16
0.15,0.05,2.9999999999999996,0.954,0.046000000000000006,0.0,0.31616068792878244,36.800000000000004,0.8151160445446377,1.2212453270876722e-15
0.15,0.05,2.9999999999999996,0.9359999999999999,0.064,0.0,0.3225097590398079,33.0,0.8343093029489396,4.440892098500626e-16
0.15,0.05,2.9999999999999996,0.918,0.082,0.0,0.3289805186364229,30.0,0.8478432644324561,4.440892098500626e-16
0.15,0.05,2.9999999999999996,0.9,0.1,0.0,0.3355814887259496,27.6,0.8582533930284464,5.551115123125783e-16
0.15,0.1,1.4999999999999998,0.99,0.01,0.0,0.06972376941933625,65.2,0.36353904148959254,4.440892098500626e-16
0.15,0.1,1.4999999999999998,0.972,0.028000000000000004,0.0,0.08195635234517927,42.2,0.49837276987032897,8.881784197001252e-16
0.15,0.1,1.4999999999999998,0.954,0.046000000000000006,0.0,0.09441820022510963,31.6,0.5554725685028468,9.992007221626409e-16
0.15,0.1,1.4999999999999998,0.9359999999999999,0.064,0.0,0.10711716401546738,24.8,0.5916955249917694,4.440892098500626e-16
0.15,0.1,1.4999999999999998,0.918,0.082,0.0,0.12006246901583019,20.0,0.6186645052125335,4.440892098500626e-16
0.15,0.1,1.4999999999999998,0.9,0.1,0.0,0.1332640661212295,16.400000000000002,0.6405048981077427,8.881784197001252e-16
0.15,0.15000000000000002,0.9999999999999998,0.99,0.01,0.0,0.01,0.0,0.09355189729136047,9.992007221626409e-16
0.15,0.15000000000000002,0.9999999999999998,0.972,0.028000000000000004,0.0,0.028000000000000004,0.0,0.19443405541098133,8.881784197001252e-16
0.15,0.15000000000000002,0.9999999999999998,0.954,0.046000000000000006,0.0,0.046000000000000006,0.0,0.26043709343301263,1.1102230246251565e-15
0.15,0.15000000000000002,0.9999999999999998,0.9359999999999999,0.064,0.0,0.064,0.0,0.31045149539865247,4.440892098500626e-16
0.15,0.15000000000000002,0.9999999999999998,0.918,0.082,0.0,0.082,0.0,0.3513598302504131,1.3322676295501878e-15
0.15,0.15000000000000002,0.9999999999999998,0.9,0.1,0.0,0.1,0.0,0.3863743108838861,1.1102230246251565e-15
0.15,0.2,0.7499999999999999,0.99,0.01,0.0,0.01,0.0,0.036887876081776697,4.440892098500626e-16
0.15,0.2,0.7499999999999999,0.972,0.028000000000000004,0.0,0.028000000000000004,0.0,0.09391572137491727,8.881784197001252e-16
0.15,0.2,0.7499999999999999,0.954,0.046000000000000006,0.0,0.046000000000000006,0.0,0.1425357634415745,4.440892098500626e-16
0.15,0.2,0.7499999999999999,0.9359999999999999,0.064,0.0,0.064,0.0,0.18526233326063243,8.881784197001252e-16
0.15,0.2,0.7499999999999999,0.918,0.082,0.0,0.082,0.0,0.2235979668139323,6.661338147750939e-16
0.15,0.2,0.7499999999999999,0.9,0.1,0.0,0.1,0.0,0.2585148084200025,6.661338147750939e-16
0.15,0.25,0.6,0.99,0.01,0.0,0.01,0.0,0.02436492224890373,6.661338147750939e-16
0.15,0.25,0.6,0.972,0.028000000000000004,0.0,0.028000000000000004,0.0,0.06539556219475887,8.881784197001252e-16
0.15,0.25,0.6,0.954,0.046000000000000006,0.0,0.046000000000000006,0.0,0.10336228125958535,1.3322676295501878e-15
0.15,0.25,0.6,0.9359999999999999,0.064,0.0,0.064,0.0,0.13877445462204413,1.7763568394002505e-15
0.15,0.25,0.6,0.918,0.082,0.0,0.082,0.0,0.1720170026690656,6.661338147750939e-16
0.15,0.25,0.6,0.9,0.1,0.0,0.1,0.0,0.20338883965404048,7.771561172376096e-16
0.15,0.3,0.5,0.99,0.01,0.0,0.01,0.0,0.01970386447404533,9.992007221626409e-16
0.15,0.3,0.5,0.972,0.028000000000000004,0.0,0.028000000000000004,0.0,0.053793422796998745,4.440892098500626e-16
0.15,0.3,0.5,0.954,0.046000000000000006,0.0,0.046000000000000006,0.0,0.08627739955115599,6.661338147750939e-16
0.15,0.3,0.5,0.9359999999999999,0.064,0.0,0.064,0.0,0.11732783401098305,1.3322676295501878e-15
